Номенклатура для категории клиентов: Бары
"Источник: прайс-лист на 29 апреля 2026 г.; подгрупп: 3; позиций: 244"

Номенклатура
"Топпинг ""Кленовый сироп"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Клубника"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Кокос"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Лесной орех"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Лесные Ягоды"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Малина"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Манго"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Маракуйя"" Barinoff 1л*6шт. пл.бут., шт"
"Топпинг ""Молочный шоколад"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Мята"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Персик"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Соленая карамель"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Тирамису"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Фисташка"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Халва"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Шоколад"" Barinoff 1л/6шт пл/бут, РФ, шт"
Мыло хозяйственное жидкое, 650гр, шт
"Средство для мытья стёкол Mister Window ""Сочный лимон"", 500 мл, шт"
"Средство универсальное отбеливающее ""Белизна № 1"" 1000мл, шт"
Средство чистящее для унитазов I-Clean  Цитрус 750гр, шт
Бумага для выпечки силиконизированная 25м*38см, коричневый, 24шт/кор, Complement, шт
Бумага для выпечки силиконизированная 50м*38см, коричневый, 12шт/кор, Complement, шт
Бумага туалетная Veta Pop Art двухслойная на втулке (8шт), упак
Вилка пластиковая 16,5см столовая, белая 100шт/40упак, РБ, упак
Держатель для 2-х стаканов 193*108*42мм 150шт/упак, упак
Зубочистки бамбук в инд. упаковке, 1000шт/1упак, шт
Коробка для пиццы 320*320*30мм блок б/п ГК КРАФТ (50шт/уп), РБ, упак
Крышка пластиковая PS с клапаном d=80мм, черная, 100 шт/10упак., РБ, упак
Крышка пластиковая PS с клапаном d=90мм, черная 100шт/10упак, РБ, упак
Крышка пластиковая купольная d=95мм, с отверстием высокая, 50шт/20упак., упак
"Ланч-бокс LB-1 ""А"" 1-секционный белый 250*195*68мм 100шт/упак, шт"
"Ланч-бокс LB-2 ""А"" 2-секционный белый 250*195*68мм 100шт/упак, шт"
Лента чековая 57*12*30 метров термо 1*20 шт, РБ, упак
Ложка пластиковая 15,8см столовая, белая 100шт/36упак, РБ, упак
Нож пластиковый 16см столовая, белый 100шт/25упак, РБ, упак
Пакет ПНД майка 350*380мм, 7 мкм, 200шт/10упак, РБ, шт
Пакет ПНД фасовка 210*300мм, 8мкм, 1000шт/5упак, РБ, шт
Пакеты для мусора 120 литров по 10 шт. в рулоне, шт
Пакеты для мусора 160 литров по 10 шт. в рулоне, шт
Пакеты для мусора 240 литров по 10 шт. в рулоне, шт
Пакеты для мусора 35 литров по 50 шт., в рулоне, шт
Пакеты для мусора 60 литров по 20 шт., в рулоне, шт
Перчатки нитриловые, размер L, 100 шт. ЧЕРНЫЕ, РФ, шт
Перчатки нитриловые, размер M, 100 шт. ЧЕРНЫЕ, РФ, шт
Перчатки нитриловые, размер ХL, 100 шт. ЧЕРНЫЕ, РФ, шт
Пленка ПЭ пищевая 45см*250 Стр smart, белый, 8рул/кор, шт
Полотенце бумажное 2-х сл. РУЛОН  500 листов, 42 г/м, шт
Размешиватель деревянный 140*5,5*1,3 мм, 1000шт/16упак, РБ,шт
Соусник с крышкой 30мл ПП, Цвет: прозрачный, 80шт/24упак, упак
"Стакан 500мл ПП цвет: прозрачный (1упак*50шт; 1 кор*20упак), упак"
"Стакан бумажный 1сл 250 мл d=80 цвет: КРАФТ Л (1 упак*75шт; 1 кор*20 упак), РФ, упак"
"Стакан бумажный 1сл 250 мл d=80 цвет: Черный (1 упак*75шт; 1 кор*20 упак), РФ, упак"
Стакан бумажный 1сл 250 мл d=80, белый 75шт/20упак, РФ, упак
"Стакан бумажный 1сл 300 мл ""light"" цвет: белый (1 пак*50шт; 1 кор*20 упак), РФ, упак"
"Стакан бумажный 1сл 300 мл d=90 для горячего Крафт (1 пак*50шт; 1 кор*20 упак), РФ, упак"
"Стакан бумажный 1сл 300 мл d=90 для горячего Черный (1 пак*50шт; 1 кор*20 упак), РФ, упак"
"Стакан ПЭТ 300 мл d=95 Шейк, прозрачный,(1 упак*50шт; 1 кор*20 упак), упак"
"Стакан ПЭТ 500 мл d=95, прозрачный,(1 упак*50шт; 1 кор*16 упак), упак"
Трубочки пластиковые 8*240 мм, в инд. упаковке, чёрные 250шт/1упак, РБ, упак
Упаковка бумажная для бургеров ECO BURGER M крафт 50шт/6упак , РФ. шт
Упаковка бумажная для бургеров L крафт 50шт/8упак , РФ. шт
Упаковка бумажная для карт.фри 100г, крафт, 100шт/6упак, РФ, шт
Упаковка бумажная для карт.фри ECO FRY-L 132*54*120 мм, крафт, 50шт/20упак, РФ, шт
Фольга алюминиевая 29см*100м, 9мкм, 12рул/кор, шт
Фольга алюминиевая 29см*80м, 8мкм, 12рул/кор, шт
